player_name,height_wo_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,year,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,war_total,position_C,position_C-PF,position_PF,position_PF-C,position_PF-SF,position_PG,position_PG-SG,position_SF,position_SF-PF,position_SF-SG,position_SG,position_SG-PG,position_SG-SF
Jordan Adams,75.5,208.8,82.0,102.0,10.8,8.5,7.5,24.5,29.5,12.13,3.5,,33,70.4,114.9,22.4,50.9,57.17,2.4,11.2,11.3,10.3,129,153,0.843,119,219,0.5429999999999999,46,150,0.307,1.1,4.2,41.5,1,4.23623,124.84200000000001,2.8,2013,1.4500453000000002,22.0,95.4443,91.6148,3.54817,212.97299999999998,8.397910000000001,5.79447,2.60344,8.56829,30.2727,4.88754,3.68076,0.6364,3.2121,3.8485,1.7576,2.2121,0.3636,15.302999999999999,0.3434514305,0,0,0,0,0,0,0,0,0,0,1,0,0
Kyle Anderson,79.5,230.1,86.75,107.5,13.35,8.25,8.75,,,,,,31,72.7,102.0,15.2,50.6,51.31,2.3,7.6,5.4,13.5,14,21,0.667,29,59,0.49200000000000005,68,200,0.34,0.8,0.9,8.1,1,1.19038,95.7806,3.0,2012,0.72728985,,104.818,106.65,2.0512099999999998,134.297,0.662083,1.91393,-1.25185,-0.53246,30.6129,0.5610729999999999,-1.09353,0.6129,2.2903,2.9032,0.7742,0.4839,0.2581,8.9032,2.626534455142857,0,0,0,0,0,0,0,1,0,0,0,0,0
Cameron Bairstow,80.75,252.4,84.75,107.0,8.7,8.75,9.0,31.0,33.5,11.39,3.37,,30,21.1,107.7,13.4,57.8,58.68,10.1,11.5,4.0,21.4,12,20,0.6,28,49,0.5710000000000001,1,2,0.5,2.3,1.0,39.2,1,0.49900100000000003,99.9993,6.2,2011,0.42854084,49.0,100.176,97.0885,0.9878709999999999,48.6956,1.5839,0.359641,1.2242600000000001,-0.238346,9.7,-1.32315,1.0848,0.8,0.9667,1.7667,0.2,0.1667,0.2,2.3667,-0.14769844599999998,0,0,1,0,0,0,0,0,0,0,0,0,0
Khem Birch,79.5,208.8,85.0,107.0,6.0,9.0,8.5,30.5,35.5,11.6,3.26,,10,9.6,110.5,16.8,57.1,57.22,17.1,24.0,0.0,17.6,12,22,0.545,16,28,0.5710000000000001,0,0,0.0,14.3,0.8,78.6,1,1.1195,105.85700000000001,5.6,2012,0.0,,94.6162,91.6114,1.80807,34.7531,2.31628,-0.9212629999999999,3.23755,3.27019,15.0,0.647803,2.62239,2.1,2.9,5.0,0.0,0.2,1.9,4.4,1.66524973775,0,0,1,0,0,0,0,0,0,0,0,0,0
Markel Brown,74.5,184.4,80.75,100.0,4.2,8.25,9.75,36.5,43.5,12.62,3.18,,34,53.3,90.9,19.9,43.5,47.02,3.4,10.7,14.2,20.9,51,84,0.607,60,132,0.455,16,61,0.262,5.2,2.3,43.5,1,0.681458,94.1451,2.7,2011,0.96080001,44.0,98.8048,94.7255,2.38053,135.39,3.49591,-0.558312,4.05422,4.05695,21.6176,1.52296,2.53399,0.6176,1.9118,2.5294,1.4412,0.8235,0.9706,6.4412,-0.06922540166666667,0,0,0,0,0,0,0,0,0,0,1,0,0
Jabari Brown,75.0,201.9,80.25,100.0,6.05,9.0,9.25,28.0,32.0,11.6,3.5,,2,3.8,45.1,28.0,31.8,35.93,0.0,9.1,3.3,45.3,5,12,0.41700000000000004,2,4,0.5,1,7,0.14300000000000002,0.0,1.2,109.1,1,-3.1055599999999997,49.2517,2.4,2012,0.09090909,,106.12,100.259,2.30858,7.33822,-15.2379,-12.1753,-3.06264,-14.7185,25.5,-9.08531,-5.63319,0.0,2.0,2.0,0.5,0.5,0.0,6.0,-1.407179121,0,0,0,0,0,0,0,0,0,0,1,0,0
Deonte Burton,72.0,192.8,79.0,97.5,7.65,8.25,8.0,29.0,39.5,11.28,3.28,,31,73.6,109.8,24.4,49.3,55.62,1.3,7.2,26.7,17.6,131,177,0.74,84,179,0.469,42,119,0.353,1.0,2.5,59.4,1,3.27552,116.991,3.9,2011,1.61768856,,104.645,102.993,2.4449799999999997,157.297,3.40529,3.84059,-0.43530699999999994,4.34342,29.6774,3.1954700000000003,1.14795,0.3548,1.9032,2.2581,3.5484,1.2903,0.2903,13.7097,-0.5324750515000001,0,0,0,0,0,1,0,0,0,0,0,0,0
Semaj Christon,73.5,186.0,78.5,99.0,5.25,8.5,8.25,30.5,36.5,11.55,3.32,,30,82.2,95.9,30.1,45.3,50.29,0.6,9.2,32.2,22.2,125,186,0.672,155,337,0.46,7,28,0.25,0.4,2.8,51.0,1,3.3165400000000003,112.02799999999999,3.1,2013,1.27523181,55.0,98.4874,94.4198,3.7126699999999997,177.472,1.78443,0.6224970000000001,1.16194,2.45218,34.2667,1.1549200000000002,1.29726,0.1667,2.7,2.8667,4.6333,1.5,0.1,15.2,-2.169333741,0,0,0,0,0,1,0,0,0,0,0,0,0
Jordan Clarkson,75.25,186.3,80.0,98.0,4.3,8.25,9.0,33.0,38.5,10.76,3.28,,27,51.7,96.7,27.2,47.8,55.07,2.0,7.8,17.8,25.6,96,121,0.7929999999999999,77,158,0.48700000000000004,20,66,0.303,0.5,1.8,54.0,1,1.90087,107.243,3.7,2011,0.66665511,46.0,103.06200000000001,100.56,2.24599,106.363,-1.4479799999999998,-0.591905,-0.8560760000000001,-0.341877,24.8889,-0.0654497,-0.276427,0.4074,1.6667,2.0741,1.9259,0.7407,0.1111,11.4815,2.407337224428571,0,0,0,0,0,1,0,0,0,0,0,0,0
Spencer Dinwiddie,76.5,204.9,80.25,103.0,5.35,8.25,9.0,,,,,,34,69.1,110.6,19.1,49.6,57.39,2.9,11.5,12.5,15.9,111,137,0.81,52,138,0.377,42,94,0.447,1.1,1.7,59.1,1,2.72133,112.729,3.3,2012,1.17013883,38.0,99.0864,95.9274,2.9170599999999998,159.66,4.20266,2.53048,1.67218,4.09537,27.7353,2.3402700000000003,1.7551,0.6471,2.8529,3.5,1.6176,0.7647,0.2647,10.0294,2.2659865395714283,0,0,0,0,0,1,0,0,0,0,0,0,0
