player_name,war_total
Patrick Beverley,7.724218498
DeMarre Carroll,7.696745749
John Wall,7.659515862
Jae Crowder,7.654542075
Julius Randle,7.650137586
Khris Middleton,7.640206388
Ben Simmons,7.625856962
Lou Williams,7.619303641
Al Horford,7.61813156
Danny Green,7.577515666
Donovan Mitchell,7.569661932
Nicolas Batum,7.559357346
Rudy Gobert,7.538518539
Terry Rozier,7.532756082
Draymond Green,7.530784353
Anthony Davis,7.517069392
Marcus Smart,7.514981956
Tim Duncan,7.489080481
Kyrie Irving,7.489068084
Duncan Robinson,7.462170268
DeAndre Jordan,7.448792517
Al Horford,7.422224927
Khris Middleton,7.385360708
Bradley Beal,7.381822409
Darren Collison,7.37388626
CJ McCollum,7.365709755
Mike Conley,7.356832393
Steven Adams,7.34142524
Fred VanVleet,7.338403497
Serge Ibaka,7.331400507
Draymond Green,7.318820698
DeMarre Carroll,7.267875133
Robin Lopez,7.255095304
Donovan Mitchell,7.245100203
Marc Gasol,7.224406923
Rudy Gobert,7.210859774
Joe Ingles,7.20723287
Trae Young,7.192126987
Marvin Williams,7.167521823
Clint Capela,7.151116247
LaMarcus Aldridge,7.137532501
Kyrie Irving,7.121275062
Tony Allen,7.113151848
Klay Thompson,7.101802065
LaMarcus Aldridge,7.059470295
Thaddeus Young,7.052929657
Josh Richardson,7.033024803
Andre Iguodala,6.986707553
Jayson Tatum,6.970027845
Trae Young,6.963371727
Karl-Anthony Towns,6.963363989
Chandler Parsons,6.924454302
JR Smith,6.885495799
Pau Gasol,6.843043403
Hassan Whiteside,6.836313348
Jakob Poeltl,6.820055887
Vince Carter,6.815416169
John Collins,6.799817318
Matt Barnes,6.787033808
Malcolm Brogdon,6.769914198
Tim Duncan,6.747551492
John Wall,6.717854515
Joe Ingles,6.71521289
Jamal Murray,6.707203072
Andre Roberson,6.706304806
Patrick Beverley,6.680682721
Al Horford,6.667130871
Fred VanVleet,6.660848983
Zach Randolph,6.643027201
Robert Covington,6.641466916
Kevin Durant,6.627517361
Wesley Matthews,6.604483591
Steven Adams,6.601450742
Danny Green,6.600016682
Ty Lawson,6.58801499
Bogdan Bogdanovic,6.579731491
Timofey Mozgov,6.576314142
Deandre Ayton,6.561050286
Ty Lawson,6.518252394
Bradley Beal,6.499806363
Trevor Ariza,6.490314799
Derrick Favors,6.481005794
Monta Ellis,6.477887981
Brook Lopez,6.423569828
Jaylen Brown,6.414517146
Rudy Gay,6.409034263
Jeff Teague,6.385179427
Derrick White,6.367521662
Kristaps Porzingis,6.361807399
Derrick Favors,6.357839883
Tyson Chandler,6.347350026
Dwight Howard,6.333424093
DeMar DeRozan,6.305071965
Goran Dragic,6.298059448
Thaddeus Young,6.296486508
Jayson Tatum,6.282711531
Patrick Beverley,6.279318479
Lou Williams,6.274484145
Anderson Varejao,6.245318776
Ben Simmons,6.243365614
Danny Green,6.224987211
Ivica Zubac,6.224206621
Thaddeus Young,6.217361207
Jeremy Lamb,6.196108575
Royce O'Neale,6.18391631
Tiago Splitter,6.176475263
Victor Oladipo,6.155999419
Chris Bosh,6.144881634
Russell Westbrook,6.142006009
Jaylen Brown,6.141704142
Patrick Beverley,6.135173144
Hassan Whiteside,6.133294167
Spencer Dinwiddie,6.073954975
Channing Frye,6.072285205
Kyle Anderson,6.032772566
Andre Iguodala,6.027140891
CJ McCollum,6.014968639
Devin Booker,5.991121581
Montrezl Harrell,5.986880398
Zion Williamson,5.983387274
Kevon Looney,5.98262442
Tobias Harris,5.957614254
CJ McCollum,5.953125489
Lou Williams,5.951815047
De'Aaron Fox,5.951543743
Luka Doncic,5.939360283
James Johnson,5.930054194
Luol Deng,5.928264607
Anthony Davis,5.925508444
Joakim Noah,5.922779556
Jrue Holiday,5.912891674
Pau Gasol,5.900298463
Dirk Nowitzki,5.881765321
PJ Tucker,5.87200693
George Hill,5.8702519
JJ Redick,5.869864399
Kyle Korver,5.857573492
Marcus Smart,5.852262112
Josh Richardson,5.846781153
Joe Ingles,5.840363988
Marcin Gortat,5.834971288
Bradley Beal,5.832489048
Robert Covington,5.82266973
Nikola Mirotic,5.818851759
Ricky Rubio,5.81351176
Pau Gasol,5.795104704
Karl-Anthony Towns,5.783401492
Derrick Favors,5.782719767
Roy Hibbert,5.780837547
Paul Pierce,5.771393686
Michael Porter Jr.,5.765522816
Derrick Favors,5.74599376
Joel Embiid,5.745576783
Serge Ibaka,5.743211956
Manu Ginobili,5.733303458
Donovan Mitchell,5.726277462
Andre Drummond,5.72519476
Gary Harris,5.715490095
Kyle Anderson,5.713083694
PJ Tucker,5.705718209
Darren Collison,5.702531322
Kyle Korver,5.689700132
Iman Shumpert,5.669009346
Andrew Bogut,5.668314947
Myles Turner,5.658963711
Wesley Matthews,5.653851957
D'Angelo Russell,5.652608958
JR Smith,5.645966692
Joe Harris,5.63759548
Danilo Gallinari,5.632572467
Reggie Jackson,5.619623228
Fred VanVleet,5.60600977
Brook Lopez,5.605922501
Patrick Beverley,5.600483534
Michael Kidd-Gilchrist,5.586527961
Joe Johnson,5.585928072
Nikola Vucevic,5.578544058
Boris Diaw,5.572831395
Brook Lopez,5.568199471
Karl-Anthony Towns,5.559972261
Jonas Valanciunas,5.553912778
Ersan Ilyasova,5.545918524
Nikola Mirotic,5.532381157
Buddy Hield,5.524852282
Manu Ginobili,5.523642751
Tristan Thompson,5.512636893
Luol Deng,5.489968951
Reggie Jackson,5.481353802
Marc Gasol,5.4484059
JJ Redick,5.44718251
Kemba Walker,5.437460145
Tobias Harris,5.412827893
Darren Collison,5.409458342
Bam Adebayo,5.406504064
Tyreke Evans,5.391137972
Al Jefferson,5.390809652
George Hill,5.372806315
Shai Gilgeous-Alexander,5.370274154
Andrew Wiggins,5.367522987
Jamal Murray,5.365574474
Marcus Smart,5.365513794
Tobias Harris,5.360613854
Al Horford,5.353883404
Tobias Harris,5.351029548
Delon Wright,5.35095193
Eric Bledsoe,5.334553546
Karl-Anthony Towns,5.322010816
Zach LaVine,5.321057904
Danilo Gallinari,5.308113026
Davis Bertans,5.293478957
Montrezl Harrell,5.290323998
Robert Covington,5.290169939
Ben Simmons,5.271778758
Derrick White,5.271705683
Cameron Payne,5.271555235
Andrew Bogut,5.261122124
Jarrett Allen,5.251738616
Jonas Valanciunas,5.247100224
Nikola Vucevic,5.244793869
Josh McRoberts,5.242858215
Manu Ginobili,5.238185254
Jared Dudley,5.233635527
Justin Holiday,5.230255956
Amir Johnson,5.229030211
Tim Hardaway Jr.,5.227056375
Dwight Powell,5.222555707
Terry Rozier,5.221274239
Zaza Pachulia,5.216639088
Enes Kanter,5.212301711
Jerami Grant,5.211769775
Jordan Clarkson,5.201430425
Jayson Tatum,5.193281862
Jonas Valanciunas,5.178347722
Dorian Finney-Smith,5.176393203
Victor Oladipo,5.15755525
Reggie Jackson,5.155505385
Blake Griffin,5.151387345
Ryan Anderson,5.151366157
Gordon Hayward,5.148924552
Kyle Korver,5.147716465
Will Barton,5.128383336
